text,label
I hate this,neg
This is awful,neg
I'm so sad,neg
Terrible experience,neg
I'm very disappointed,neg
This ruined my day,neg
I feel horrible,neg
So angry,neg
Worst ever,neg
Such a mess,neg
Absolutely terrible,neg
Feeling frustrated,neg
This is depressing,neg
I'm crying,neg
I can't believe how bad this is,neg
Really upset,neg
Not worth it,neg
Such a letdown,neg
Feeling miserable,neg
Horrible service,neg
Very bad,neg
Totally unsatisfied,neg
Extremely poor,neg
This sucks,neg
What a disaster,neg
So annoyed,neg
This is unbearable,neg
I'm done with this,neg
I'm heartbroken,neg
Very disappointing,neg
Never again,neg
This is disgusting,neg
Feeling hurt,neg
Terribly sad,neg
Disappointed,neg
Very frustrating,neg
Worst decision ever,neg
This gave me anxiety,neg
So stressful,neg
It's a nightmare,neg
Nothing worked,neg
Feeling hopeless,neg
I regret this,neg
Too many problems,neg
Useless,neg
This is chaos,neg
So noisy and annoying,neg
I lost time and money,neg
Not good at all,neg
Big mistake,neg
Terrible outcome,neg
